Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","590.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01343","Apricots","2021","2021","7021","Annual value","USD","1243.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","312.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01701","Beans, dry","2021","2021","7021","Annual value","USD","2356.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","317.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2021","2021","7021","Annual value","USD","493","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2021","2021","7021","Annual value","USD","456.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2021","2021","7021","Annual value","USD","1025.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01344.02","Cherries","2021","2021","7021","Annual value","USD","1455.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01373","Chestnuts, in shell","2021","2021","7021","Annual value","USD","2259.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","7021","Annual value","USD","618.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2021","2021","7021","Annual value","USD","535.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01314","Dates","2021","2021","7021","Annual value","USD","651.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01233","Eggplants (aubergines)","2021","2021","7021","Annual value","USD","879","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01315","Figs","2021","2021","7021","Annual value","USD","1209.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01330","Grapes","2021","2021","7021","Annual value","USD","683.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01252","Green garlic","2021","2021","7021","Annual value","USD","2321.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2021","2021","7021","Annual value","USD","3766.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01254","Leeks and other alliaceous vegetables","2021","2021","7021","Annual value","USD","476.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2021","2021","7021","Annual value","USD","726.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01214","Lettuce and chicory","2021","2021","7021","Annual value","USD","814.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","356.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21111.01b","Meat of cattle with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3885.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21121b","Meat of chickens, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3183.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21116b","Meat of goat, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3931.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21113.01b","Meat of pig with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3812.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21115b","Meat of sheep, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3656.1","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","21124b","Meat of turkeys, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","6190.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02910","Natural honey","2021","2021","7021","Annual value","USD","13556.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0117","Oats","2021","2021","7021","Annual value","USD","411.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01450","Olives","2021","2021","7021","Annual value","USD","1223.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","7021","Annual value","USD","476.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01253.01","Onions and shallots, green","2021","2021","7021","Annual value","USD","817.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01323","Oranges","2021","2021","7021","Annual value","USD","511.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01241.90","Other beans, green","2021","2021","7021","Annual value","USD","1229.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","7021","Annual value","USD","4020.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01345","Peaches and nectarines","2021","2021","7021","Annual value","USD","813.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01342.01","Pears","2021","2021","7021","Annual value","USD","987.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01242","Peas, green","2021","2021","7021","Annual value","USD","945.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01346","Plums and sloes","2021","2021","7021","Annual value","USD","711.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01510","Potatoes","2021","2021","7021","Annual value","USD","430.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01235","Pumpkins, squash and gourds","2021","2021","7021","Annual value","USD","571.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01342.02","Quinces","2021","2021","7021","Annual value","USD","789.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2021","2021","7021","Annual value","USD","442.9","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02292","Raw milk of goats","2021","2021","7021","Annual value","USD","564.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02291","Raw milk of sheep","2021","2021","7021","Annual value","USD","854.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0116","Rye","2021","2021","7021","Annual value","USD","580.6","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","7021","Annual value","USD","385.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0141","Soya beans","2021","2021","7021","Annual value","USD","663.5","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01215","Spinach","2021","2021","7021","Annual value","USD","797.4","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01445","Sunflower seed","2021","2021","7021","Annual value","USD","1091","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01324","Tangerines, mandarins, clementines","2021","2021","7021","Annual value","USD","434.2","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01234","Tomatoes","2021","2021","7021","Annual value","USD","572.7","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01970","Unmanufactured tobacco","2021","2021","7021","Annual value","USD","4299.8","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","01221","Watermelons","2021","2021","7021","Annual value","USD","179.3","A","Official figure"
"PP","Producer Prices","008","Albania","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","342.2","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","1860","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","185.1","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01243","Broad beans and horse beans, green","2021","2021","7021","Annual value","USD","607.2","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","377.2","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2021","2021","7021","Annual value","USD","787.5","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2021","2021","7021","Annual value","USD","335.3","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01213","Cauliflowers and broccoli","2021","2021","7021","Annual value","USD","523.6","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","7021","Annual value","USD","615.9","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01314","Dates","2021","2021","7021","Annual value","USD","2980.4","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01330","Grapes","2021","2021","7021","Annual value","USD","1421.8","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01252","Green garlic","2021","2021","7021","Annual value","USD","3411.8","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2021","2021","7021","Annual value","USD","1594","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2021","2021","7021","Annual value","USD","1563.4","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01214","Lettuce and chicory","2021","2021","7021","Annual value","USD","476","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","7021","Annual value","USD","7652.2","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","21121","Meat of chickens, fresh or chilled","2021","2021","7021","Annual value","USD","2467.9","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","21115","Meat of sheep, fresh or chilled","2021","2021","7021","Annual value","USD","8438.7","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","0117","Oats","2021","2021","7021","Annual value","USD","118.5","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","7021","Annual value","USD","249.9","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01253.01","Onions and shallots, green","2021","2021","7021","Annual value","USD","243","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01323","Oranges","2021","2021","7021","Annual value","USD","1046.7","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01241.90","Other beans, green","2021","2021","7021","Annual value","USD","1177.1","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01342.01","Pears","2021","2021","7021","Annual value","USD","1910.9","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01242","Peas, green","2021","2021","7021","Annual value","USD","1030.3","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01510","Potatoes","2021","2021","7021","Annual value","USD","406","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01235","Pumpkins, squash and gourds","2021","2021","7021","Annual value","USD","597.3","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","02211","Raw milk of cattle","2021","2021","7021","Annual value","USD","381.4","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01324","Tangerines, mandarins, clementines","2021","2021","7021","Annual value","USD","1163.4","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01234","Tomatoes","2021","2021","7021","Annual value","USD","477.9","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","01221","Watermelons","2021","2021","7021","Annual value","USD","616.8","A","Official figure"
"PP","Producer Prices","012","Algeria","5532","Producer Price (USD/tonne)","0111","Wheat","2021","2021","7021","Annual value","USD","333.2","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","2444.4","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01229","Cantaloupes and other melons","2021","2021","7021","Annual value","USD","2191.9","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2021","2021","7021","Annual value","USD","2175.6","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01520.01","Cassava, fresh","2021","2021","7021","Annual value","USD","2191.9","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","7021","Annual value","USD","6217","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2021","2021","7021","Annual value","USD","2216.3","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01233","Eggplants (aubergines)","2021","2021","7021","Annual value","USD","2387.4","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2021","2021","7021","Annual value","USD","4840","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01322","Lemons and limes","2021","2021","7021","Annual value","USD","5296.3","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","0112","Maize (corn)","2021","2021","7021","Annual value","USD","2550.4","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01316","Mangoes, guavas and mangosteens","2021","2021","7021","Annual value","USD","2273.3","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","21111.01b","Meat of cattle with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","5353.3","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","21121b","Meat of chickens, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","2648.1","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","21116b","Meat of goat, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","6518.5","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","21113.01b","Meat of pig with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","3666.7","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","21115b","Meat of sheep, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","5703.7","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","7021","Annual value","USD","2664.4","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01241.90","Other beans, green","2021","2021","7021","Annual value","USD","4055.6","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01318","Pineapples","2021","2021","7021","Annual value","USD","3666.7","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01235","Pumpkins, squash and gourds","2021","2021","7021","Annual value","USD","2037","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01530","Sweet potatoes","2021","2021","7021","Annual value","USD","2493.3","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01234","Tomatoes","2021","2021","7021","Annual value","USD","2444.4","A","Official figure"
"PP","Producer Prices","028","Antigua and Barbuda","5532","Producer Price (USD/tonne)","01540","Yams","2021","2021","7021","Annual value","USD","3120.7","A","Official figure"
"PP","Producer Prices","032","Argentina","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2021","2021","7021","Annual value","USD","585.9","A","Official figure"
"PP","Producer Prices","032","Argentina","5532","Producer Price (USD/tonne)","21111.01b","Meat of cattle with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","1639.5","A","Official figure"
"PP","Producer Prices","032","Argentina","5532","Producer Price (USD/tonne)","21121b","Meat of chickens, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","1412.6","A","Official figure"
"PP","Producer Prices","032","Argentina","5532","Producer Price (USD/tonne)","21113.01b","Meat of pig with the bone, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","1469","A","Official figure"
"PP","Producer Prices","032","Argentina","5532","Producer Price (USD/tonne)","21115b","Meat of sheep, fresh or chilled (biological)","2021","2021","7021","Annual value","USD","4096.4","A","Official figure"
"PP","Producer Prices","032","Argentina","5532","Producer Price (USD/tonne)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","7021","Annual value","USD","4222.7","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01341","Apples","2021","2021","7021","Annual value","USD","394.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01343","Apricots","2021","2021","7021","Annual value","USD","791.2","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","0115","Barley","2021","2021","7021","Annual value","USD","295.3","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01701","Beans, dry","2021","2021","7021","Annual value","USD","2415.6","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01212","Cabbages","2021","2021","7021","Annual value","USD","307.2","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01251","Carrots and turnips","2021","2021","7021","Annual value","USD","578.6","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01344.02","Cherries","2021","2021","7021","Annual value","USD","1150.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","7021","Annual value","USD","436.9","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01232","Cucumbers and gherkins","2021","2021","7021","Annual value","USD","447.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01351.01","Currants","2021","2021","7021","Annual value","USD","1614.3","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01233","Eggplants (aubergines)","2021","2021","7021","Annual value","USD","233.5","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01315","Figs","2021","2021","7021","Annual value","USD","638.6","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01330","Grapes","2021","2021","7021","Annual value","USD","301.1","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","01252","Green garlic","2021","2021","7021","Annual value","USD","2007.8","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","0231","Hen eggs in shell, fresh","2021","2021","7021","Annual value","USD","2619.2","A","Official figure"
"PP","Producer Prices","051","Armenia","5532","Producer Price (USD/tonne)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","7021","Annual value","USD","4797.6","A","Official figure"
