MRIO_CPC_description,count,avg_co2_kg_per_kg,avg_land_use_m2_per_kg
Manufacture of beverages,119,6.012665334944463,8.979104785462992
Processing of Food products nec,108,4.221941935201059,9.080659789288523
Cultivation of crops nec,85,2.5660510936786824,7.237279972157525
Processing of dairy products,50,8.036734591470173,12.61443402776373
Cultivation of cereal grains nec,49,2.6335398075844934,3.9976231955424155
Cultivation of plant-based fibers,22,4.039800541314572,7.481049208747158
"Cultivation of vegetables, fruit, nuts",9,1.3072530998967584,7.886482525438597
"""Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)""",8,5.548657714136676,10.007127845606641
Cultivation of oil seeds,8,2.529469263293763,12.811280517019052
Manufacture of fish products,8,9.272523720759843,4.736246144141764
Cultivation of wheat,8,1.396947181119945,4.458651749676006
Production of meat products nec,8,6.428246876679208,9.730639172989335
Processing of meat poultry,6,7.213843486999245,6.276663224584357
Animal products nec,5,13.101103765935292,32.45946811908355
Sugar refining,5,2.227072423952393,4.115332584448468
Meat animals nec,1,17.36872478560908,35.401983177499034
Processing of meat cattle,1,129.74771482600087,427.331125983305
