product_name,ingredients_text,countries_en,is_english,MRIO_CPC_description,lca_food_group,lca_similarity,co2_kg_per_kg,land_use_m2_per_kg
Banana Chips Sweetened (Whole),"Bananas, vegetable oil (coconut oil, corn oil and/or palm oil) sugar, natural banana flavor.",United States,True,Processing of Food products nec,Bananas,0.61762536,0.8733495729166667,2.63982366875
Organic Salted Nut Mix,"Organic hazelnuts, organic cashews, organic walnuts almonds, organic sunflower oil, sea salt.",United States,True,Processing of Food products nec,Cashew nuts,0.55363405,2.087644250617284,11.720881622222224
Breadshop Honey Gone Nuts Granola,"Rolled oats, grape concentrate, expeller pressed canola oil, sunflower seeds, almonds, walnuts oat bran, sesame seeds, cashews, natural vitamin e.",United States,True,Cultivation of cereal grains nec,Granola,0.6168711,1.7811926156448203,5.141597698942918
Organic Long Grain White Rice,Organic long grain white rice,United States,True,Cultivation of cereal grains nec,Rice,0.6814231,3.925909801226994,2.9366605355828224
Organic Dark Chocolate Minis,"Organic chocolate liquor, organic raw cane sugar, organic cocoa butter, organic unrefined whole cane sugar, organic ground vanilla beans.",United States,True,Manufacture of beverages,Dark chocolate,0.68055546,20.62003664137931,48.78823265344828
Organic Sunflower Oil,"Organic expeller pressed, refined high oleic sunflower oil",United States,True,Cultivation of oil seeds,Sunflower oil,0.91124606,3.6613972142857145,19.461267114285715
Organic Penne Pasta,Organic refined durum semolina wheat flour,United States,True,Processing of Food products nec,Penne pasta,0.8889658,1.6251067503703704,3.7357361029629623
Cinnamon Nut Granola,"Organic rolled oats, honey, raisins, almonds, sunflower seeds, walnuts, wheat germ, unrefined expeller-pressed safflower oil, molasses, cinnamon",United States,True,Cultivation of cereal grains nec,Granola,0.77307236,1.7811926156448203,5.141597698942918
Organic Sweetened Banana Chips,"Organic bananas, organic coconut oil, organic sugar",United States,True,Processing of Food products nec,Bananas,0.61689305,0.8733495729166667,2.63982366875
Lotus Organic Brown Jasmine Rice,Organic brown jasmine rice,United States,True,Cultivation of cereal grains nec,Rice,0.6181242,3.925909801226994,2.9366605355828224
