source,target,value
5574,307,463785920000.0
5574,316,471244470000.0
5574,355,1279593800000.0
5574,1113,565419200000.0
5574,1329,742973300000.0
5574,1493,492565000000.0
5574,1496,883375200000.0
5574,1751,603631450000.0
5574,1822,487526040000.0
5574,1823,780482500000.0
5574,2417,958920800000.0
5574,2437,581872100000.0
5574,2788,499262720000.0
5574,4564,495264630000.0
5574,4571,492374800000.0
5574,4575,1022331700000.0
5574,4578,1325636600000.0
5574,4581,674429800000.0
5574,4583,858872100000.0
5574,4589,764038800000.0
5574,4591,476341830000.0
5574,4592,460815630000.0
5574,4593,671065300000.0
5574,4594,473664880000.0
5574,4595,1079120100000.0
5574,4596,946969000000.0
5574,4612,766591100000.0
5574,4616,541482980000.0
5574,4617,468682930000.0
5574,4618,576882740000.0
5574,4621,1052800450000.0
5574,4622,710847560000.0
5574,4623,490847500000.0
5574,4624,687491100000.0
5574,4627,495730100000.0
5574,4628,922676000000.0
5574,4629,1025826400000.0
5574,4631,650141900000.0
5574,4633,549684540000.0
5574,4639,492211470000.0
5574,4641,507561540000.0
5574,4643,472634900000.0
5574,4645,553212440000.0
5574,4646,493294200000.0
5574,4648,590319060000.0
5574,4649,581725260000.0
5574,4650,477629600000.0
5574,4651,485945670000.0
5574,4652,575352400000.0
5574,4654,695671650000.0
5574,4656,517585930000.0
5574,4658,572674200000.0
5574,4659,559001600000.0
5574,4660,556270940000.0
5574,4661,548172530000.0
5574,4662,550313260000.0
5574,4663,532544780000.0
5574,4664,549529300000.0
5574,4665,1074363240000.0
5574,4666,512915640000.0
5574,4668,523272160000.0
5574,4670,554143200000.0
5574,4671,586936700000.0
5574,4672,486066700000.0
5574,4673,1273310900000.0
5574,4675,1063942100000.0
5574,4677,602444600000.0
5574,4678,498467440000.0
5574,4679,615364100000.0
5574,4681,1023834500000.0
5574,4682,908115600000.0
5574,4683,795953200000.0
5574,4685,1625645500000.0
5574,4686,1473701600000.0
5574,4687,657524100000.0
5574,4688,853879900000.0
